chapter_name,link,qns,ans
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-4-594,"In a chocolate factory, the quality inspector noticed that in 1 hour, the number of chocolate boxes which had defective packing was 360 less than the number of boxes which were packed correctly. If 60 more boxes were packed correctly in one hour, then the number of boxes that are packed correctly would be 25 times the number of boxes with defective packing. What is the total number of chocolate boxes packed in 1 hour?  ",520
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-5-603,"Josh is a toy retailer. Out of every 50 toy cars which he sold, 8 would be defective. He would make a profit of $8 per toy car sold if the toy car was in good condition but he would make a loss of $3 per defective toy car sold. Last week, Josh earned $4992 from all the toy cars sold. (a) How many defective toy cars did he sell last week? (b) How much more money would he earn if all the toy cars were in good condition? (c) What was the total sales collected last week if the total cost of the cars sold amounted to $600?   Notes to student:","128,1408,5592"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-5-605,"An electronic store earned $72 on the sale of a music system. A slightly defective music system was sold at a lower price. The store would lose $38 by selling a defective music system. In March this year, the store earned $26160 from the music systems sold. Out of every 50 music systems sold, 3 were defective. (a) How many good systems were sold in March? (b) What was the loss in earnings due to the defective systems?  Notes to student:","376,2640"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-5-607,"For every student who qualified in an entrance examination, a school's rating in a survey went up by 4 points. The school's rating fell by 2 points for every student who failed to qualify. When the results of the examination were announced, it was observed that out of every 15 students, there were 3 who did not qualify. The school got a total rating of 546 points in the process. (a) How many students took the examination? (b) How many more points would the school get if all the students qualified in the entrance examination?  Notes to student:","195,234"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-5-609,"A fruit stall earned $6 by selling a dozen fresh apples. Day-old apples were sold at reduced prices. The stall would lose $2 per dozen by selling the day-old apples. Out of every 15 dozen apples that the stall sold, 2 dozen were found to be day-old ones. The stall managed to earn $2886 by selling its entire stock of apples. (a) How many dozen apples in the stall were a day old? (b) How much more could the fruit stall earn if all the apples were not day-old ones?  Notes to student:","78,624"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-6-448,"The price of a calculator in bookstore A is equal to the price of the same calculator in bookstore B. In the month of August, the price of the calculator was marked down in both bookstores. As a result, the price became $32 and $38 in bookstore A and B respectively. John bought 3 such calculators from each bookstore and found that he saved a total of $114 due to the markdowns in price. How much was the price marked down in bookstore A?  ",22
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-6-449,"The price of a washing machine in a shop on Miller Road is the same as the price of an identical washing machine in a shop on Washington Road. Both the shops offered a discount on the washing machine during Christmas. As a result, the price of the machine in the Miller Road shop became $330 and that in the Washington Road shop became $310. Robinson's family could save a total of $1240 by buying 4 such washing machines from each shop during the offer period. By how much was the price of the washing machine knocked down in each of the shops?  (a)Miller Road shop: __________ (b)Washington Road shop:_________  Notes to students: If the question above has parts(e.g. (a) and (b)), given that the answer for part (a) is 10 and the answer for part (b) is 12, give your answer as:10,12","145,165"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-6-450,"The price of a tennis racquet in shop M was equal to the price of the same tennis racquet in shop N. A year-end sale had both the shops offering a discount on the racquet. After the discount, the racquet was available in shop M for $110 and in shop N for $120. A tennis academy saves $230 when purchasing 10 such racquets from each shop during the sale. How much money could the academy save by buying 16 such racquets from shop M?",264
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-7-451,"Emma had some chopsticks. If she bundles them into groups of nine, there will be five sticks short. If she bundles them into groups of eight, there will be four extra chopsticks. How many chopsticks does she have? ",76
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-7-452,"The number of stamps in Megan’s collection is more than 210 but less than 220. If she arranges them into groups of 36, 3 stamps will be left without a group. However, if she tries arranging them into groups of 37, one of the groups will be short of 3 stamps. How many stamps does Megan have?",219
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-7-454,"A certain scholarship grant amount is to be divided among a group of students. If each student is given $30, $20 will be left undistributed. If each student is given $40, there will be a shortage of $30. (a) How many students will get the scholarship? (b) What is the minimum grant amount?   Notes on students:","5,170"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-8-460,"The student population of school C is thrice of the total student population of school A and school B. There are 460 students in school B. If the total student population of schools A, B and C is 3152, how many more students are there in school C than school A?",2036
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-8-461,"A juice bar has a total of 1509 cans of juice. There are 223 cans of pineapple juice. The number of cans of orange juice is twice the total number of cans of pineapple juice, blueberry juice and cranberry juice. The number of cans of cranberry juice is three times the number of cans of blueberry juice. How many cans of blueberry juice does the bar have? ",70
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-8-466,"The rice in 3 boxes A, B and C have a total mass of 144 kg. Box C has 22 kg of rice. The total mass of rice in boxes B and C is a quarter of the mass of the rice in box A. How much rice must be transferred from box A to box B and box C, so that all the three boxes have the same mass of rice? (a) Amount of rice transferred from box A to box B: _____ kg (b) Amount of rice transferred from box A to box C: _____ kg   Notes to student:    ","41.2,26"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-9-467,"Dean and Sam had a total of $123 at first. Mary gave Sam $7 and John gave Sam $10. In the end, Sam had thirteen times as much money as Dean. (a) How much money did Sam have at first? (b) How much money did Dean have at first?  Notes to students:","113,10"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-9-562,"At an airport, there were a total of 16000 people at terminal A and terminal B. After 2000 people from terminal A left the airport, terminal A had 6 times as many people as terminal B. Find : (a) the number of people at terminal A in the end. (b) the number of people at terminal B initially.  Notes to student:","12000,2000"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-9-563,"There were a total of 1080 fruits in two racks, A and B. After 450 fruits from rack B were sold, rack B had 6 times as many fruits as rack A. How many more fruits than rack A did rack B have at first? ",900
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-10-566,Sally bought 80 sweets and cookies. Each sweet cost $1 and each cookie cost $2 more than each sweet. The total cost of the cookies was $160 more than the total cost of the sweets. (a) How many cookies did Sally buy? (b) How much did Sally spend on the sweets?   Notes to student:,"60,20"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-10-568,Jennifer bought a total of 54 chocolate and vanilla ice creams. Each chocolate ice cream costs $6 and each vanilla ice cream costs $4.50 The total cost of the chocolate ice creams is $51 more than the total cost of the vanilla ice creams. How many more chocolate ice creams than vanilla ice creams did she buy?,2
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-10-569,A goldsmith has a total of 450 rings and bracelets. The total value of the bracelets is $4950 more than the total value of the rings. Each bracelet is priced at $300 and each ring costs $150 Find the total value of all the jewellery that the goldsmith has.,91650
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-10-571,45 people are travelling in a bus from location A to location B. The ticket for a senior citizen who is 60 years of age or older is priced at $6. The cost of a normal ticket is $9. The total collection from the senior citizens who are aged 60 years or older is $135 more than the collection from the other passengers. How many senior citizens aged 60 years or older were travelling in the bus? ,36
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-11-613,Marcos paid $408 for 42 dinner sets. He spent $13 on each large set and $7 on each small set. How many large sets did he buy?,19
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-11-615,"John bought 18 calculators and shirts. In the process, he spent a total of $171. A calculator costs $4.50 more than a shirt. A shirt costs $8. (a) How many calculators did he buy? (b) How many shirts did he buy?  Notes to student:  ","12,6"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-11-616,The total number of cars and bicycles in a parking lot is 105. The total number of car wheels is 222 more than the total number of bicycle wheels. Calculate the number of cars in the parking lot.,72
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-12-617,"The number of mangoes in a refrigerator is greater than 100 but less than 110. If I put these mangoes into baskets of 25, there will be a remainder of 4 mangoes. If I put these mangoes into baskets of 3, there will be a remainder of 2 mangoes. Determine the total number of mangoes in the refrigerator.  ",104
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-12-618,"I am thinking of a number. If I divide the number by 7, there will be a remainder of 5. If I divide the number by 12, there will be a remainder of 10. If the number is between 60 and 100, what is the number?",82
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-12-619,"I am thinking of a number. If I divide the number by 6, I get a remainder of 7. If I divide the number by 7, I get a remainder of 4. If the number is between 30 and 70, what number am I thinking of?",67
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-13-625,Melissa bought some cookies and sweets with 3 $50 notes and received a change of $49. The cost of each sweet is $2. The cost of each cookie is $1. Melissa bought 16 more sweets than cookies. (a) How much do the cookies cost in total? (b) How much do the sweets cost in total?  Notes to student:,"23,78"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-13-626,"Pearl had some rolls of ribbons and balls of yarn which when combined, had a total length of 1250 m. The length of yarn contained in a ball is 25 m. Each roll of ribbon is 5 m longer than each ball of yarn. If there were 5 more rolls of ribbon than balls of yarn, how many rolls of ribbon does Pearl have?",25
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-13-627,"A clinic ordered and received 1900 pills to be packed into medicine bottles. A small medicine bottle will have 30 pills, while a big medicine bottle will have 20 more pills than the small bottle. If there are 10 more small bottles than big bottles, what is the total number of pills in the big bottles? ",1000
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-14-628,There were 28 male and female employees in an office. There were 4 more male than female employees. Each male earned $600 more than each female. The total salary paid out to the employees in the office last month was $23600. What was the total amount earned by the female employees last month? ,6000
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-14-630,A group of mountaineers went on an expedition to climb Mt. Everest had 27 males and some females. They paid a total amount of $37800 as entry fees to the base camp. Every male member paid $300 more than a female member. There were 9 less females than males. What is the difference in the total amount of money collected at the base camp from the male and female mountaineers?,14040
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-14-631,1130 notebooks were distributed among some children. There were 16 boys. There were 10 less girls than boys. Each boy received 6 more notebooks than each girl. How many less notebooks will the girls receive than the boys?,566
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-15-636,An examination had 160 multiple choice questions. 1.5 marks were deducted for every wrong answer and 2.5 marks were awarded for every correct answer. Naomi ended up with 384 marks while her friend Susan scored only 304 marks. How many more answers did Susan get wrong than Naomi?,20
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-15-638,"A shoe shop had a stock of 960 pairs of shoes. Some of them were manufactured last year and some of them were new pairs of shoes which were manufactured this year. The shop decided to sell off the old stock of shoes which were manufactured last year at a lower price and lost $24 per pair in the process. The shop earned $216 by selling each new pair of shoes. When the entire stock was sold, the shop earned a total of $18000. Find the number of pairs of shoes that were manufactured last year.",789
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-15-640,"A multinational company entrusted the delivery of 400 important documents to a courier agent. The courier agent would charge the company $15 for every document it delivered correctly, but promised to pay $33 to the company for every wrong delivery. The courier agent earned a total amount of $4848 from the delivery of all the documents. How many documents were not delivered correctly?",24
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-16-644,"At first, John had 1200 marbles and Mary had 500 less marbles than him. Each of them gave away an equal number of marbles to Kelly. In the end, Mary had half as many marbles as John. How many marbles did each of them give away?",200
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-16-645,"A few weeks ago, it was observed that there were 255 street lights in locatlity X and 615 street lights in locality Y. Recently, an equal number of street lights were installed in both the localities. Subsequently, the number of street lights in locality Y was found to be two times the number in locality X. How many new street lights were installed in each locality?",105
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-16-649,"Container B had 312 kg of rice less than container A which had 324 kg of rice. An equal amount of rice was added to each container. As a result, container B had14of the quantity of rice in container A. What was the quantity of rice added to each container?",92
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-17-652,There are a total of 80 heads and 200 legs on a farm. The farm only has pigs and chickens. (a) How many pigs are there? (b) How many chickens are there?   Notes to student:,"20,60"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-17-653,A large bowl contains 9 fruits and a small bowl has 5 fruits. There are 45 fruit bowls in all and the total number of fruits in them is 297. (a) How many small bowls are there? (b) Find the number of fruits in all the large bowls.  Notes to student:,"27,162"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-17-654,Mr Churchill spent $15 on 60 pens and pencils. The cost of a pen is 30 cents. Each pencil costs 12 cents less. How many pens did Mr Churchill buy?,35
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-18-660,"A class of 20 students were tasked to paint some chairs. Sally and Tom fell ill and did not come to school. As a result, each of the remaining students had to paint 10 extra chairs. How many chairs must the class of 20 students paint? ",1800
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-18-662,"A dairy farm had a fleet of 20 vans delivering milk to a city. One morning, 4 of the vans broke down and were unable to make deliveries. Hence, each of the other vans had to deliver 10 extra crates each. How many crates of milk were delivered altogether? ",800
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-18-663,"In a class, 21 kids were assigned the task of collecting a certain number of flowers. After a while, 12 kids stopped collecting flowers and ran off to play. Because of this, the remaining kids had to collect 60 more flowers each. (a) How many flowers had to be collected by each kid originally before 12 kids ran off to play? (b) How many flowers were collected by the kids in total?  Notes to student:","45,945"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-19-667,"Lilly ran a barbie doll shop. She bought dolls at $6 each from a wholesaler. She sells each doll at $14. A doll is given free if a customer buys 2 dolls. Last week, her customers either bought 1 or 2 dolls. As a result, she had to give away 120 barbie dolls. If her total earnings last week was $2000, how many customers bought only 1 doll each?",100
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-19-668,"A plant nursery procures rose saplings for $4 each and sells them for $14 each. Any person who buys 2 saplings gets one sapling free. On Christmas eve, all customers purchased either 1 or 2 saplings. Towards the end of the day, 400 saplings had been given away free. The nursery had earned $7600. How many people had bought only one sapling from the nursery?",120
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-19-669,"A supermarket buys chocolate boxes at $6 each and sells them at $9 each. Any customer buying 2 boxes gets a box free. This Sunday, all customers who visited the supermarket, purchased either one or two chocolate boxes. During the day, the supermarket gave away 150 boxes away free and earned $2001. Calculate the number of customers who bought only one box of chocolate.",667
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-20-670,"John had 104 square plates. He puts these plates on the floor and arranges all the plates to form a hollow square. If there are no gaps between the plates, how many plates are there along each side of the square? (Note: Each corner of the square has a plate)",27
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-20-671,14 rows of flower pots with 12 pots in each row were being rearranged. They were arranged to form the perimeter of a square with an equal number of pots on each side. How many pots did each side of the square have?,43
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-20-672,12 boxes of matchsticks with 60 matchsticks in each box were being used to form the perimeter of a square by arranging an equal number of sticks on each side. The matchsticks were placed on the surface of a table in such a way that the ends of each stick were always connected to another. How many matchsticks formed one side of the square?,180
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-21-1939,There are a certain number of pages in a book. John counted and found that the digits that make up the pages in the book sum up to 819. How many pages are there in the book?,309
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-21-1940,A textbook has 300 pages. What is the total number of digits in the textbook?,792
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-21-1941,"Mary counted the number of digits representing the page numbers in a book and found that there were a total of 648 digits. (a) How many pages had 3 digits? (b) How many pages were there in the book?  Notes to students:If the question above has parts, (e.g. (a) and (b)), given that the answer for part (a) is 10 and the answer for part (b) is 12, give your answer as:10,12","153,252"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-22-1960,"There are rows of 15 chairs in a school hall. 6 additional chairs were brought into the hall and all chairs were rearranged into rows of 12. Now, there are 10 more rows than before. How many chairs were there in the school hall at first?  ",570
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-22-1961,"There are 30 sweets in a certain number of jars. Tom, a shopkeeper, had to rearrange these sweets such that there are 12 sweets in each jar. After the rearrangement, there are now 63 more jars than before and each jar contained exactly 12 sweets. (a) How many jars were there at first? (b) How many sweets are there?  Notes to students:If the question above has parts, (e.g. (a) and (b)), given that the answer for part (a) is 10 and the answer for part (b) is 12, give your answer as:10,12","42,1260"
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-22-1962,"A shop had a certain number of sacks of rice at first. Each sack contained 34 kg of rice at first. 3 days later, the shop purchased another 12 kg of rice. Tom was then tasked to rearrange the rice into sacks of 26 kg each. After he had done so, he found that he had 18 more sacks of rice than what he had before. How much rice did the shop have in the end?",1950
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-23-6643,"There are 4 bottles labelled P, Q, R and S. These bottles contained a total of 1620 marbles. The number of marbles in S was halved while the number of marbles in P and Q were increased by 110 and decreased by 30 respectively. Eventually, the number of marbles in all 4 bottles became equal. How many marbles were there in bottle S at first?",680
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-23-6644,"4 boxes labelled A, B, C and D contained a total of 1970 beads. The number of beads in A and B were increased by 220 and decreased by 60 respectively. Also, half of the number of beads in D was given away. As a result, the number of beads in all 4 boxes became equal. How many beads were there in box D at first?",852
Whole Numbers,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-whole-numbers-get-this-right-and-you-will-be-amazing-whole-numbers-exercise-23-6645,"John had 5 bags labelled P, Q, R, S and T. These bags contained a total of 4070 badges. The number of badges in S was doubled while the number of badges in P and Q were increased by 330 and decreased by 60 respectively. The number of badges in bag R stayed constant throughout. In the end, the number of badges in bags P, Q, R and S became equal. If there are no badges in bag T, how many badges were there in bag S in the end?",1240
Decimals,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-decimals-if-you-master-decimals-we-bow-to-you-decimals-exercise-1-679,"A shop sells pencils. Out of every 20 pencils sold, 2 were defective. Defective pencils were sold at 80 cents each. A pencil in good condition cost 20 cents more than a defective pencil. (a) If the shopkeeper collected $2352 last month, how many pencils were sold last month? (b) What was the amount collected from the sale of defective pencils last month?  Notes to student:","2400,192"
Decimals,https://www.singaporemathguru.com/question/primary-6-problem-sums-word-problems-decimals-if-you-master-decimals-we-bow-to-you-decimals-exercise-1-684,"At a local thrift store, a shirt costs $5 and a hat costs $3.50 At the end of the day, the owner collected $655.50 from the sale of shirts and hats. For every 5 shirts sold, one hat was sold. (a) What is the total number of shirts sold for the day? (b) How much more money would the thrift store have made if all the items sold were shirts instead?  Notes to student:","115,34.50"
